y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
0,0,0,5,0,0,0,0,1,0,0,0,1,0,2,2,2,0,3,0,0,0,0,0,1,0,4,0,2,2,0,1,0,0,3
1,19,3,2,1,0,3,3,0,12,3,0,5,3,4,0,0,1,1,0,0,3,1,3,0,0,0,1,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,4,0,0,6,6,0,1,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
0,0,15,5,4,1,1,1,10,0,0,1,10,1,0,4,4,0,6,0,0,1,6,0,0,0,3,0,11,0,4,0,0,0,0
1,13,1,1,0,0,3,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,2,3,0,0,0,0,0,0,0,0,0,0
1,18,0,9,0,0,0,0,0,0,0,1,10,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,1,8,1,0,0,0,0,3,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8,0,0,9,1,0,1,8,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0
0,0,0,7,0,0,0,0,3,0,0,1,15,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,9,0,0,3,0,0,0
1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,15,4,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,7,0,0,0,0,13,0,0,1,7,1,0,2,2,0,2,0,0,0,1,0,0,0,2,12,2,0,3,0,1,0,0
0,0,0,2,1,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,2,4,0,0,2,0,0,0,0,0,10,1,0,4,4,0,0,1,0,0,12,6,6,0,0,0,0,0,2,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,5,0,0,3,1,6,0,0,0,3,0,0,4,4,0,3,0,0,0,2,0,0,1,2,0,0,0,6,0,0,0,0
1,25,1,2,6,0,0,0,2,2,0,1,0,1,0,6,6,2,3,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,12,11,4,16,0,7,4,0,5,1,12,1,5,2,2,0,5,0,0,4,8,0,3,0,4,0,2,4,0,1,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,3,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,1,1,0,0,3,0,0,3,6,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
1,15,0,8,2,0,0,0,0,0,0,1,0,1,0,8,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
